year,source_sheet,position_no,supervisor,unit,job_name,job_code,recruit_count,stage,subject,user_type,major_req,edu_req,degree_req,age_req,qualification,exam_category,exam_subcategory,exam_code,exam_method,need_professional_written,need_practical_test,interview_method,ratio,direct_to_written_threshold,consult_phone,notice_url,is_core_it,is_adjacent_digital,it_scope
2022,南宁市2022年公开考试招聘中小学教师岗位计划表,01709,横州市教育局,横州市马山镇双桥村委小学,小学信息技术教师（聘用教师控制数）,1450101709,1,小学,信息技术,聘用教师控制数,电气、电子及自动化类、计算机科学与技术类、电子商务类、教育技术学、现代教育技术、计算机教育,大专及以上,无要求,18-40周岁,具有小学及以上教师资格证书和普通话水平测试等级证书（三级甲等及以上）,中小学教师类（D类）,小学教师岗位,41,,否,否,,否,,0771-7223518,,True,False,信息技术/信息科技
2022,南宁市2022年公开考试招聘中小学教师岗位计划表,01742,横州市教育局,横州市百合镇武留村委小学,小学信息技术教师（聘用教师控制数）,1450101742,1,小学,信息技术,聘用教师控制数,电气、电子及自动化类、计算机科学与技术类、电子商务类、教育技术学、现代教育技术、计算机教育,大专及以上,无要求,18-40周岁,具有小学及以上教师资格证书和普通话水平测试等级证书（三级甲等及以上）,中小学教师类（D类）,小学教师岗位,41,,否,否,,否,,0771-7223518,,True,False,信息技术/信息科技
2022,南宁市2022年公开考试招聘中小学教师岗位计划表,01751,横州市教育局,横州市那阳镇簕竹村委小学,小学信息技术教师（聘用教师控制数）,1450101751,1,小学,信息技术,聘用教师控制数,电气、电子及自动化类、计算机科学与技术类、电子商务类、教育技术学、现代教育技术、计算机教育,大专及以上,无要求,18-40周岁,具有小学及以上教师资格证书和普通话水平测试等级证书（三级甲等及以上）,中小学教师类（D类）,小学教师岗位,41,,否,否,,否,,0771-7223518,,True,False,信息技术/信息科技
2022,南宁市2022年公开考试招聘中小学教师岗位计划表,01758,横州市教育局,横州市那阳镇三合村委小学,小学信息技术教师（聘用教师控制数）,1450101758,1,小学,信息技术,聘用教师控制数,电气、电子及自动化类、计算机科学与技术类、电子商务类、教育技术学、现代教育技术、计算机教育,大专及以上,无要求,18-40周岁,具有小学及以上教师资格证书和普通话水平测试等级证书（三级甲等及以上）,中小学教师类（D类）,小学教师岗位,41,,否,否,,否,,0771-7223518,,True,False,信息技术/信息科技
2022,南宁市2022年公开考试招聘中小学教师岗位计划表,01762,横州市教育局,横州市那阳镇维新联小,小学信息技术教师（聘用教师控制数）,1450101762,1,小学,信息技术,聘用教师控制数,电气、电子及自动化类、计算机科学与技术类、电子商务类、教育技术学、现代教育技术、计算机教育,大专及以上,无要求,18-40周岁,具有小学及以上教师资格证书和普通话水平测试等级证书（三级甲等及以上）,中小学教师类（D类）,小学教师岗位,41,,否,否,,否,,0771-7223518,,True,False,信息技术/信息科技
2022,南宁市2022年公开考试招聘中小学教师岗位计划表,01768,横州市教育局,横州市新福镇飞龙小学,小学信息技术教师（聘用教师控制数）,1450101768,1,小学,信息技术,聘用教师控制数,电气、电子及自动化类、计算机科学与技术类、电子商务类、教育技术学、现代教育技术、计算机教育,大专及以上,无要求,18-40周岁,具有小学及以上教师资格证书和普通话水平测试等级证书（三级甲等及以上）,中小学教师类（D类）,小学教师岗位,41,,否,否,,否,,0771-7223518,,True,False,信息技术/信息科技
2022,南宁市2022年公开考试招聘中小学教师岗位计划表,01788,横州市教育局,横州市平马镇快龙村委小学,小学信息技术教师（聘用教师控制数）,1450101788,1,小学,信息技术,聘用教师控制数,电气、电子及自动化类、计算机科学与技术类、电子商务类、教育技术学、现代教育技术、计算机教育,大专及以上,无要求,18-40周岁,具有小学及以上教师资格证书和普通话水平测试等级证书（三级甲等及以上）,中小学教师类（D类）,小学教师岗位,41,,否,否,,否,,0771-7223518,,True,False,信息技术/信息科技
2022,南宁市2022年公开考试招聘中小学教师岗位计划表,01869,横州市教育局,横州市云表镇甲俭村委小学,小学信息技术教师（聘用教师控制数）,1450101869,1,小学,信息技术,聘用教师控制数,电气、电子及自动化类、计算机科学与技术类、电子商务类、教育技术学、现代教育技术、计算机教育,大专及以上,无要求,18-40周岁,具有小学及以上教师资格证书和普通话水平测试等级证书（三级甲等及以上）,中小学教师类（D类）,小学教师岗位,41,,否,否,,否,,0771-7223518,,True,False,信息技术/信息科技
2022,南宁市2022年公开考试招聘中小学教师岗位计划表,01902,南宁市兴宁区教育局,南宁市朝阳路小学,小学信息技术教师（聘用教师控制数）,1450101902,1,小学,信息技术,聘用教师控制数,计算机教育、计算机科学与技术类、教育技术学、现代教育技术硕士、学科教学硕士,本科及以上,学士及以上,18-35周岁,具有小学及以上教师资格证书和普通话水平测试等级证书（二级乙等及以上）,中小学教师类（D类）,小学教师岗位,41,,否,否,,否,,0771-2434145,,True,False,信息技术/信息科技
2022,南宁市2022年公开考试招聘中小学教师岗位计划表,01905,南宁市兴宁区教育局,南宁市华强路小学,小学信息技术教师（聘用教师控制数）,1450101905,1,小学,信息技术,聘用教师控制数,计算机教育、计算机科学与技术类、教育技术学、现代教育技术硕士、学科教学硕士,本科及以上,学士及以上,18-35周岁,具有教师系列初级及以上职称；小学及以上教师资格证书和普通话水平测试等级证书（二级乙等及以上）,中小学教师类（D类）,小学教师岗位,41,,否,否,,否,,0771-2439526,,True,False,信息技术/信息科技
